Mat.Typ,Material,Base Unit of Measure,Mat.Desc,Plant,Mat.Grp,Mat.Grp Desc,Sub group,Sub Group Desc,Split Valuation Status,Serial Number Status
ZSPR,4000004044,NO,POWER SUPPLY MODULE,4226,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004043,NO,IMPEDANCE STARTER,3259,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004042,NO,DIVERTOR COUNTER,4196,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004041,NO,ARCING ROD,4245,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004040,NO,"BLOCK,VENT",4108,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004039,NO,STEEL CONTACT,4148,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004038,NO,INTERMIDEATE CONTACT ASSY,4232,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004037,NO,"SUPPORT,FIBER",4179,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004036,NO,"PRESSURE ASSEMBELY,W/CU PIPE",4223,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004035,NO,BORVEL,2292,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004034,NO,"MEMORY CARD,W/CARD READER",4140,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004032,NO,"DOUBLE DRUM TANK,TF OIL DRUM",4218,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004031,NO,"HEATING ELEMENT,2.7KW",4113,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004030,NO,"HEXBOLT,WITH NUT,GI,M24X95MM",4114,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004029,NO,"CONTROL PANEL,STATION TRANSFORMER",4194,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004028,KG,"CHANNEL,125X65MM",4271,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004027,NO,"COMPRESSOR,CENTRIFUSING M/C",3167,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
